n;Validation Engine;serialNumber;val start;oph@start;starts@start
0;ABINSK;1386177;02.03.20;1845;55
1;ABINSK;1250575;15.06.20;758;
2;ABINSK;1386260;13.07.20;6240;192
3;ABINSK;1386147;11.12.20;8920;145
4;BLESSED TEXTILE;1393153;23.03.20;7315;243
5;BMW DINGOLFING 2.4;1352268;04.05.20;5756;444
6;BMW DINGOLFING 2.4;1352323;22.06.20;6262;534
7;BMW LANDSHUT 4.10;1320072;07.02.20;6316;768
8;BMW LANDSHUT 4.10;1320114;24.02.20;6494;602
9;BMW LANDSHUT M1;1320090;12.10.20;8076;1224
10;BMW MÜNCHEN;1320022;08.06.20;3985;864
11;BMW MÜNCHEN;1319151;06.07.20;4108;726
12;BMW MÜNCHEN;1319997;24.08.20;4992;1379
13;BMW MÜNCHEN;1320030;03.08.20;5478;1042
14;BMW MÜNCHEN;1319138;20.07.20;4292;557
15;BMW MÜNCHEN;1319157;17.08.20;4416;579
16;BMW MÜNCHEN;1319133;31.08.20;4532;581
17;BMW REGENSBURG M3;1243360;17.08.20;63893;2016
18;DALOMA;1339812;02.11.20;5248;111
19;ECOGEN ENERGY SYSTEMS BVBA;1198719;15.10.20;28583;711
31;FRONERI - FERENTINO;1361965;18.11.20;7229;305
20;GAZ DE LACQ;1345851;22.10.20;7252;119
21;LES COURONNERIES;1325927;09.09.20;9804;255
22;POLYNT - 2 (1145166-T241) --> Sept;1145166;12.10.20;31291;378
23;PROSPERITY WEAVING MILLS LTD - 1 (1351388-X243);1250578;12.10.20;0;352
24;REGENSBURG;1175579;14.09.20;30402;1351
25;REGENSBURG;1243362;07.09.20;62765;
26;ROCHE PENZBERG KWKK;1184199;27.04.20;25208;749
27;Salmmeir 1;1415409;21.10.20;6871;1011
28;Salmmeir 2;1415410;02.10.20;6580;674
29;SOTERNIX RENOVE;1310773;25.09.20;18439;1218
30;TOM VILLE;1364066;25.09.20;0;14